"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HOXB13","-2.74932674053541160","-2.74932674053541160","2.74932674053541160","Repressed","59","viper","59","2.74932674053541160",NA,NA,"4","ReMap--ChIP-seq(rank=280); Enrichr--Queries(rank=634); GTEx--Coexpression(rank=1025); ARCHS4--Coexpression(rank=1374)","1217","0.451600000000000001","Enrichr Queries,0.4516"
"FOXP1","2.74516611666005561","2.74516611666005561","2.74516611666005561","Activated","60","viper","60","2.74516611666005561",NA,NA,"5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=271); Enrichr--Queries(rank=507); ARCHS4--Coexpression(rank=1059)","597","0.164599999999999996","Literature ChIP-seq,0.1646"
"NFE2","-2.74434113538986590","-2.74434113538986590","2.74434113538986590","Repressed","61","viper","61","2.74434113538986590",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=515); ARCHS4--Coexpression(rank=640); GTEx--Coexpression(rank=1208)","1073","0.366800000000000015","Enrichr Queries,0.3668"
"SOX13","-2.71357038925456306","-2.71357038925456306","2.71357038925456306","Repressed","62","viper","62","2.71357038925456306",NA,NA,"4","ARCHS4--Coexpression(rank=15); Enrichr--Queries(rank=36); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=154)","32","0.009214000000000000","ARCHS4 Coexpression,0.009214"
"PDX1","-2.69631581884912208","-2.69631581884912208","2.69631581884912208","Repressed","63","viper","63","2.69631581884912208",NA,NA,"5","Literature--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=146); ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=1180); GTEx--Coexpression(rank=1180)","354","0.089679999999999996","ARCHS4 Coexpression,0.08968"
"POU5F1","-2.66691833598142169","-2.66691833598142169","2.66691833598142169","Repressed","64","viper","64","2.66691833598142169",NA,NA,"5","GTEx--Coexpression(rank=43); Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=262); Enrichr--Queries(rank=523)","107","0.026759999999999999","GTEx Coexpression,0.02676"
"NR1H3","-2.66433037041765930","-2.66433037041765930","2.66433037041765930","Repressed","65","viper","65","2.66433037041765930",NA,NA,"5","Literature--ChIP-seq(rank=58); GTEx--Coexpression(rank=260); ARCHS4--Coexpression(rank=288); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=701)","586","0.161799999999999999","GTEx Coexpression,0.1618"
"RUNX2","-2.64923220891947997","-2.64923220891947997","2.64923220891947997","Repressed","66","viper","66","2.64923220891947997",NA,NA,"5","Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=103); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=330)","134","0.032559999999999999","ARCHS4 Coexpression,0.03256"
"MEF2C","-2.63175506197851572","-2.63175506197851572","2.63175506197851572","Repressed","67","viper","67","2.63175506197851572",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=246); ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=300); GTEx--Coexpression(rank=1193)","552","0.151100000000000012","ARCHS4 Coexpression,0.1511"
"TFAP4","-2.60867991342075767","-2.60867991342075767","2.60867991342075767","Repressed","68","viper","68","2.60867991342075767",NA,NA,"4","ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=823)","140","0.033669999999999999","ReMap ChIP-seq,0.03367"
"SIX5","2.59479241460065957","2.59479241460065957","2.59479241460065957","Activated","69","viper","69","2.59479241460065957",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=194); GTEx--Coexpression(rank=238); Enrichr--Queries(rank=258)","443","0.119200000000000000","ARCHS4 Coexpression,0.1192"
"NCOA2","-2.58112747916115604","-2.58112747916115604","2.58112747916115604","Repressed","70","viper","70","2.58112747916115604",NA,NA,"4","GTEx--Coexpression(rank=113); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=1134); ARCHS4--Coexpression(rank=1365)","293","0.070319999999999994","GTEx Coexpression,0.07032"
"NR2C2","2.57754397837571414","2.57754397837571414","2.57754397837571414","Activated","71","viper","71","2.57754397837571414",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=1237); Enrichr--Queries(rank=1302); ARCHS4--Coexpression(rank=1619)","1547","0.769800000000000040","GTEx Coexpression,0.7698"
"PBX2","-2.56784849704143037","-2.56784849704143037","2.56784849704143037","Repressed","72","viper","72","2.56784849704143037",NA,NA,"4","ReMap--ChIP-seq(rank=38); GTEx--Coexpression(rank=618); Enrichr--Queries(rank=968); ARCHS4--Coexpression(rank=1322)","477","0.127900000000000014","ReMap ChIP-seq,0.1279"
"ZEB2","2.51998764652990248","2.51998764652990248","2.51998764652990248","Activated","73","viper","73","2.51998764652990248",NA,NA,"4","ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=470); ARCHS4--Coexpression(rank=568); GTEx--Coexpression(rank=760)","997","0.330000000000000016","ReMap ChIP-seq,0.33"
"ARID3A","-2.48363419946414554","-2.48363419946414554","2.48363419946414554","Repressed","74","viper","74","2.48363419946414554",NA,NA,"5","ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=431); ARCHS4--Coexpression(rank=1357)","685","0.199399999999999994","Enrichr Queries,0.1994"
"ZNF217","-2.44006404392875442","-2.44006404392875442","2.44006404392875442","Repressed","75","viper","75","2.44006404392875442",NA,NA,"6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=596); ARCHS4--Coexpression(rank=880)","47","0.012200000000000001","Literature ChIP-seq,0.0122"
"TCF12","-2.43686868258101397","-2.43686868258101397","2.43686868258101397","Repressed","76","viper","76","2.43686868258101397",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=782); GTEx--Coexpression(rank=886); Enrichr--Queries(rank=988)","142","0.033900000000000000","ENCODE ChIP-seq,0.0339"
