"TF","MD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ELK1","-1.0947211807281416185","-1.0947211807281416185","1.0947211807281416185","Repressed","155","viper","155","1.0947211807281416185",NA,NA,"5","ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=744); ARCHS4--Coexpression(rank=1571)","1258","0.463000000000000023","GTEx Coexpression,0.463"
"KLF5","1.0841493961610826346","1.0841493961610826346","1.0841493961610826346","Activated","156","viper","156","1.0841493961610826346",NA,NA,"5","Literature--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=42); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=337); GTEx--Coexpression(rank=475)","110","0.025800000000000000","ARCHS4 Coexpression,0.0258"
"NR3C1","-1.0759174562970930111","-1.0759174562970930111","1.0759174562970930111","Repressed","157","viper","157","1.0759174562970930111",NA,NA,"6","ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=72); Enrichr--Queries(rank=194); ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=456); GTEx--Coexpression(rank=641)","513","0.138199999999999990","Enrichr Queries,0.1382"
"TCF3","1.0632485947425287520","1.0632485947425287520","1.0632485947425287520","Activated","158","viper","158","1.0632485947425287520",NA,NA,"6","Literature--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=1102); GTEx--Coexpression(rank=1234); ARCHS4--Coexpression(rank=1268)","103","0.024389999999999998","Literature ChIP-seq,0.02439"
"ERG","-1.0529211250775845077","-1.0529211250775845077","1.0529211250775845077","Repressed","159","viper","159","1.0529211250775845077",NA,NA,"5","GTEx--Coexpression(rank=21); Literature--ChIP-seq(rank=84); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=596)","59","0.013070000000000000","GTEx Coexpression,0.01307"
"USF1","1.0473739044188550285","1.0473739044188550285","1.0473739044188550285","Activated","160","viper","160","1.0473739044188550285",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=1163); ARCHS4--Coexpression(rank=1208); GTEx--Coexpression(rank=1362)","1038","0.353499999999999981","ReMap ChIP-seq,0.3535"
"CREM","1.0286079615652019559","1.0286079615652019559","1.0286079615652019559","Activated","161","viper","161","1.0286079615652019559",NA,NA,"5","ReMap--ChIP-seq(rank=99); Literature--ChIP-seq(rank=132); GTEx--Coexpression(rank=577); ARCHS4--Coexpression(rank=898); Enrichr--Queries(rank=1259)","994","0.333299999999999985","ReMap ChIP-seq,0.3333"
"GATA4","-1.0102406418127372056","-1.0102406418127372056","1.0102406418127372056","Repressed","162","viper","162","1.0102406418127372056",NA,NA,"5","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=175); GTEx--Coexpression(rank=662); ARCHS4--Coexpression(rank=922); Enrichr--Queries(rank=1064)","1170","0.411899999999999988","GTEx Coexpression,0.4119"
"BCL6","-1.0098618837574950824","-1.0098618837574950824","1.0098618837574950824","Repressed","163","viper","163","1.0098618837574950824",NA,NA,"5","Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=493); ARCHS4--Coexpression(rank=526); GTEx--Coexpression(rank=1156)","971","0.323099999999999998","ARCHS4 Coexpression,0.3231"
"SOX10","-1.0095233407213350940","-1.0095233407213350940","1.0095233407213350940","Repressed","164","viper","164","1.0095233407213350940",NA,NA,"4","GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=149); Enrichr--Queries(rank=294)","195","0.047919999999999997","GTEx Coexpression,0.04792"
"HOXA9","0.9963541611776991491","0.9963541611776991491","0.9963541611776991491","Activated","165","viper","165","0.9963541611776991491",NA,NA,"4","Enrichr--Queries(rank=171); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=230); GTEx--Coexpression(rank=279)","465","0.121800000000000005","Enrichr Queries,0.1218"
"BHLHE22","-0.9930107150261766602","-0.9930107150261766602","0.9930107150261766602","Repressed","166","viper","166","0.9930107150261766602",NA,NA,"3","ReMap--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=170); GTEx--Coexpression(rank=439)","400","0.104400000000000007","ARCHS4 Coexpression,0.1044"
"SNAI2","-0.9853779016345465269","-0.9853779016345465269","0.9853779016345465269","Repressed","167","viper","167","0.9853779016345465269",NA,NA,"4","GTEx--Coexpression(rank=12); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=24); ReMap--ChIP-seq(rank=73)","34","0.007467000000000000","GTEx Coexpression,0.007467"
"FLI1","-0.9600080504621690825","-0.9600080504621690825","0.9600080504621690825","Repressed","168","viper","168","0.9600080504621690825",NA,NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=442); ARCHS4--Coexpression(rank=1198); GTEx--Coexpression(rank=1499)","954","0.314800000000000024","Enrichr Queries,0.3148"
"E2F5","-0.9397345369784666502","-0.9397345369784666502","0.9397345369784666502","Repressed","169","viper","169","0.9397345369784666502",NA,NA,"4","ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=173); ARCHS4--Coexpression(rank=254); GTEx--Coexpression(rank=1078)","469","0.123200000000000004","Enrichr Queries,0.1232"
"ELK4","-0.9152196296497575601","-0.9152196296497575601","0.9152196296497575601","Repressed","170","viper","170","0.9152196296497575601",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=713); GTEx--Coexpression(rank=1425); ARCHS4--Coexpression(rank=1527)","1323","0.507800000000000029","Enrichr Queries,0.5078"
"PRDM1","0.9131113597683984118","0.9131113597683984118","0.9131113597683984118","Activated","171","viper","171","0.9131113597683984118",NA,NA,"5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=453); GTEx--Coexpression(rank=470); ARCHS4--Coexpression(rank=557)","504","0.134699999999999986","ReMap ChIP-seq,0.1347"
"BACH1","-0.9124875842554822647","-0.9124875842554822647","0.9124875842554822647","Repressed","172","viper","172","0.9124875842554822647",NA,NA,"6","ENCODE--ChIP-seq(rank=73); Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=699); GTEx--Coexpression(rank=902)","1001","0.336199999999999999","Enrichr Queries,0.3362"
"RFX5","0.9123614145437866085","0.9123614145437866085","0.9123614145437866085","Activated","173","viper","173","0.9123614145437866085",NA,NA,"5","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=278); Enrichr--Queries(rank=973); ARCHS4--Coexpression(rank=1286)","616","0.172999999999999987","GTEx Coexpression,0.173"
"E2F1","-0.8991485408738728591","-0.8991485408738728591","0.8991485408738728591","Repressed","174","viper","174","0.8991485408738728591",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=281); Enrichr--Queries(rank=1345); GTEx--Coexpression(rank=1386); ARCHS4--Coexpression(rank=1426)","1494","0.652499999999999969","ENCODE ChIP-seq,0.6525"
"ONECUT1","0.8979130792589361532","0.8979130792589361532","0.8979130792589361532","Activated","175","viper","175","0.8979130792589361532",NA,NA,"4","ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=500); Enrichr--Queries(rank=1053); GTEx--Coexpression(rank=1392)","939","0.307099999999999984","ARCHS4 Coexpression,0.3071"
"ZNF274","-0.8756490195970096924","-0.8756490195970096924","0.8756490195970096924","Repressed","176","viper","176","0.8756490195970096924",NA,NA,"6","ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=68); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=503); Enrichr--Queries(rank=1162); GTEx--Coexpression(rank=1458)","768","0.229000000000000009","ReMap ChIP-seq,0.229"
"TP73","0.8741265530812296625","0.8741265530812296625","0.8741265530812296625","Activated","177","viper","177","0.8741265530812296625",NA,NA,"3","GTEx--Coexpression(rank=188); Enrichr--Queries(rank=306); ARCHS4--Coexpression(rank=777)","447","0.117000000000000007","GTEx Coexpression,0.117"
"ARID2","0.8701384205518613024","0.8701384205518613024","0.8701384205518613024","Activated","178","viper","178","0.8701384205518613024",NA,NA,"4","ReMap--ChIP-seq(rank=248); GTEx--Coexpression(rank=305); Enrichr--Queries(rank=949); ARCHS4--Coexpression(rank=1579)","666","0.189799999999999996","GTEx Coexpression,0.1898"
"CREB3","-0.8620793128042008036","-0.8620793128042008036","0.8620793128042008036","Repressed","179","viper","179","0.8620793128042008036",NA,NA,"4","ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=1067); ARCHS4--Coexpression(rank=1399); GTEx--Coexpression(rank=1411)","1338","0.518499999999999961","ReMap ChIP-seq,0.5185"
"NFKB1","0.8553014215610085236","0.8553014215610085236","0.8553014215610085236","Activated","180","viper","180","0.8553014215610085236",NA,NA,"4","ReMap--ChIP-seq(rank=110); GTEx--Coexpression(rank=806); Enrichr--Queries(rank=1311); ARCHS4--Coexpression(rank=1322)","1074","0.370400000000000007","ReMap ChIP-seq,0.3704"
"ZFX","-0.8494402292170164515","-0.8494402292170164515","0.8494402292170164515","Repressed","181","viper","181","0.8494402292170164515",NA,NA,"5","Literature--ChIP-seq(rank=152); ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=776); Enrichr--Queries(rank=1193); ARCHS4--Coexpression(rank=1624)","1289","0.482899999999999996","GTEx Coexpression,0.4829"
"RXRA","0.8151059726771354708","0.8151059726771354708","0.8151059726771354708","Activated","182","viper","182","0.8151059726771354708",NA,NA,"6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=74); Enrichr--Queries(rank=153); ReMap--ChIP-seq(rank=274); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=758)","418","0.109000000000000000","Enrichr Queries,0.109"
"REL","0.8116322022563920990","0.8116322022563920990","0.8116322022563920990","Activated","183","viper","183","0.8116322022563920990",NA,NA,"3","ARCHS4--Coexpression(rank=716); GTEx--Coexpression(rank=722); Enrichr--Queries(rank=1192)","1221","0.439800000000000024","ARCHS4 Coexpression,0.4398"
"JUN","0.8110649044039852651","0.8110649044039852651","0.8110649044039852651","Activated","184","viper","184","0.8110649044039852651",NA,NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=159); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=1009)","380","0.098940000000000000","GTEx Coexpression,0.09894"
"TAL1","0.7910220252623646475","0.7910220252623646475","0.7910220252623646475","Activated","185","viper","185","0.7910220252623646475",NA,NA,"6","ENCODE--ChIP-seq(rank=41); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=436); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=1294)","859","0.267799999999999983","ARCHS4 Coexpression,0.2678"
"GATA2","-0.7769454594411744353","-0.7769454594411744353","0.7769454594411744353","Repressed","186","viper","186","0.7769454594411744353",NA,NA,"6","Literature--ChIP-seq(rank=15); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=245); Enrichr--Queries(rank=341); GTEx--Coexpression(rank=899); ARCHS4--Coexpression(rank=1157)","356","0.091460000000000000","Literature ChIP-seq,0.09146"
"KLF13","-0.7622444368915456403","-0.7622444368915456403","0.7622444368915456403","Repressed","187","viper","187","0.7622444368915456403",NA,NA,"4","ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=255); GTEx--Coexpression(rank=478); ARCHS4--Coexpression(rank=633)","643","0.181600000000000011","Enrichr Queries,0.1816"
"EOMES","0.7576111179971981580","0.7576111179971981580","0.7576111179971981580","Activated","188","viper","188","0.7576111179971981580",NA,NA,"5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=91); Enrichr--Queries(rank=661); GTEx--Coexpression(rank=1227); ARCHS4--Coexpression(rank=1302)","115","0.026939999999999999","ReMap ChIP-seq,0.02694"
"TP63","0.7524637428451722565","0.7524637428451722565","0.7524637428451722565","Activated","189","viper","189","0.7524637428451722565",NA,NA,"5","ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=205); GTEx--Coexpression(rank=452); Enrichr--Queries(rank=485)","437","0.114500000000000005","ReMap ChIP-seq,0.1145"
"AHR","0.7459459624505876407","0.7459459624505876407","0.7459459624505876407","Activated","190","viper","190","0.7459459624505876407",NA,NA,"5","ReMap--ChIP-seq(rank=54); GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=64); Enrichr--Queries(rank=225); ARCHS4--Coexpression(rank=1259)","163","0.039199999999999999","GTEx Coexpression,0.0392"
"NFYB","0.7457095781399283307","0.7457095781399283307","0.7457095781399283307","Activated","191","viper","191","0.7457095781399283307",NA,NA,"5","ENCODE--ChIP-seq(rank=94); GTEx--Coexpression(rank=147); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=527); ARCHS4--Coexpression(rank=686)","357","0.091469999999999996","GTEx Coexpression,0.09147"
"CEBPD","-0.7345060361961758266","-0.7345060361961758266","0.7345060361961758266","Repressed","192","viper","192","0.7345060361961758266",NA,NA,"5","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=257); ARCHS4--Coexpression(rank=863)","578","0.159899999999999987","GTEx Coexpression,0.1599"
"TFAP2A","0.7133648162495253020","0.7133648162495253020","0.7133648162495253020","Activated","193","viper","193","0.7133648162495253020",NA,NA,"6","ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=324); GTEx--Coexpression(rank=418)","439","0.114900000000000002","ARCHS4 Coexpression,0.1149"
"HNF1B","0.6966290107043492386","0.6966290107043492386","0.6966290107043492386","Activated","194","viper","194","0.6966290107043492386",NA,NA,"3","ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=280); Enrichr--Queries(rank=425)","130","0.030300000000000001","ReMap ChIP-seq,0.0303"
"NR2F6","-0.6847190531884070896","-0.6847190531884070896","0.6847190531884070896","Repressed","195","viper","195","0.6847190531884070896",NA,NA,"4","ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=654); ARCHS4--Coexpression(rank=840); GTEx--Coexpression(rank=1218)","1262","0.465799999999999992","Enrichr Queries,0.4658"
"TWIST1","-0.6829581336948867820","-0.6829581336948867820","0.6829581336948867820","Repressed","196","viper","196","0.6829581336948867820",NA,NA,"4","GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=17); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=126)","16","0.003734000000000000","GTEx Coexpression,0.003734"
"SOX6","0.6827402858373642358","0.6827402858373642358","0.6827402858373642358","Activated","197","viper","197","0.6827402858373642358",NA,NA,"4","ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=695); GTEx--Coexpression(rank=914); ARCHS4--Coexpression(rank=1111)","1307","0.494999999999999996","Enrichr Queries,0.495"
"NFE2L2","-0.6749629654655514566","-0.6749629654655514566","0.6749629654655514566","Repressed","198","viper","198","0.6749629654655514566",NA,NA,"5","Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=107); ReMap--ChIP-seq(rank=267); Enrichr--Queries(rank=456); ARCHS4--Coexpression(rank=472)","272","0.066580000000000000","GTEx Coexpression,0.06658"
"POU2F2","0.6622803091850814061","0.6622803091850814061","0.6622803091850814061","Activated","199","viper","199","0.6622803091850814061",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=763); ARCHS4--Coexpression(rank=807); GTEx--Coexpression(rank=1081)","1309","0.495699999999999974","ARCHS4 Coexpression,0.4957"
"SOX11","0.6392706205419688148","0.6392706205419688148","0.6392706205419688148","Activated","200","viper","200","0.6392706205419688148",NA,NA,"5","Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=459); ARCHS4--Coexpression(rank=629); GTEx--Coexpression(rank=1601)","980","0.326900000000000024","Enrichr Queries,0.3269"
"HIF1A","-0.6359946402994721693","-0.6359946402994721693","0.6359946402994721693","Repressed","201","viper","201","0.6359946402994721693",NA,NA,"5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=37); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=170); Enrichr--Queries(rank=689)","19","0.004356000000000000","GTEx Coexpression,0.004356"
"PAX8","0.6138434076981673648","0.6138434076981673648","0.6138434076981673648","Activated","202","viper","202","0.6138434076981673648",NA,NA,"4","ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=58); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=1172)","94","0.022110000000000001","ARCHS4 Coexpression,0.02211"
"CEBPA","0.6047275726455156875","0.6047275726455156875","0.6047275726455156875","Activated","203","viper","203","0.6047275726455156875",NA,NA,"5","Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=267); Enrichr--Queries(rank=516); ARCHS4--Coexpression(rank=681)","597","0.166099999999999998","GTEx Coexpression,0.1661"
"ATF7","0.6035208123067741237","0.6035208123067741237","0.6035208123067741237","Activated","204","viper","204","0.6035208123067741237",NA,NA,"4","ReMap--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=256); GTEx--Coexpression(rank=385); Enrichr--Queries(rank=962)","566","0.157200000000000006","ARCHS4 Coexpression,0.1572"
"NR5A2","-0.6011160866228203448","-0.6011160866228203448","0.6011160866228203448","Repressed","205","viper","205","0.6011160866228203448",NA,NA,"4","ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=620); GTEx--Coexpression(rank=761); ARCHS4--Coexpression(rank=1184)","744","0.218900000000000011","ReMap ChIP-seq,0.2189"
"HNF4A","0.5892237233987021039","0.5892237233987021039","0.5892237233987021039","Activated","206","viper","206","0.5892237233987021039",NA,NA,"6","ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=646); ARCHS4--Coexpression(rank=828); GTEx--Coexpression(rank=1354)","1253","0.460100000000000009","Enrichr Queries,0.4601"
"TEAD2","-0.5637614092131753019","-0.5637614092131753019","0.5637614092131753019","Repressed","207","viper","207","0.5637614092131753019",NA,NA,"4","ARCHS4--Coexpression(rank=67); ReMap--ChIP-seq(rank=67); GTEx--Coexpression(rank=477); Enrichr--Queries(rank=481)","171","0.041149999999999999","ARCHS4 Coexpression,0.04115"
"MITF","-0.5634094880517750425","-0.5634094880517750425","0.5634094880517750425","Repressed","208","viper","208","0.5634094880517750425",NA,NA,"5","Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=96); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=625); GTEx--Coexpression(rank=775)","281","0.068379999999999996","Enrichr Queries,0.06838"
"VDR","-0.5407386484006360128","-0.5407386484006360128","0.5407386484006360128","Repressed","209","viper","209","0.5407386484006360128",NA,NA,"5","Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=518); ARCHS4--Coexpression(rank=1265); GTEx--Coexpression(rank=1397)","933","0.304900000000000004","Literature ChIP-seq,0.3049"
"XBP1","0.5249755677072587279","0.5249755677072587279","0.5249755677072587279","Activated","210","viper","210","0.5249755677072587279",NA,NA,"4","ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=192); GTEx--Coexpression(rank=737); Enrichr--Queries(rank=920)","452","0.117900000000000005","ARCHS4 Coexpression,0.1179"
"CDX2","0.5212001390116927091","0.5212001390116927091","0.5212001390116927091","Activated","211","viper","211","0.5212001390116927091",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=306); Enrichr--Queries(rank=583); GTEx--Coexpression(rank=727)","659","0.188000000000000000","ARCHS4 Coexpression,0.188"
"EHF","0.4979208414712223973","0.4979208414712223973","0.4979208414712223973","Activated","212","viper","212","0.4979208414712223973",NA,NA,"4","Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=52); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=143)","61","0.013530000000000000","Enrichr Queries,0.01353"
"MYB","0.4860356393597414226","0.4860356393597414226","0.4860356393597414226","Activated","213","viper","213","0.4860356393597414226",NA,NA,"6","Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=443); GTEx--Coexpression(rank=786); Enrichr--Queries(rank=886)","872","0.272100000000000009","ARCHS4 Coexpression,0.2721"
"JUND","0.4366002053887453882","0.4366002053887453882","0.4366002053887453882","Activated","214","viper","214","0.4366002053887453882",NA,NA,"6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=848); ARCHS4--Coexpression(rank=1083); GTEx--Coexpression(rank=1533)","529","0.144100000000000006","ENCODE ChIP-seq,0.1441"
"PGR","0.4262173608991297602","0.4262173608991297602","0.4262173608991297602","Activated","215","viper","215","0.4262173608991297602",NA,NA,"4","GTEx--Coexpression(rank=85); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=443)","220","0.052890000000000000","GTEx Coexpression,0.05289"
"PAX6","-0.4218380212947404617","-0.4218380212947404617","0.4218380212947404617","Repressed","216","viper","216","0.4218380212947404617",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=457); GTEx--Coexpression(rank=533); Enrichr--Queries(rank=821)","893","0.280700000000000005","ARCHS4 Coexpression,0.2807"
"WT1","0.4127461934373531927","0.4127461934373531927","0.4127461934373531927","Activated","217","viper","217","0.4127461934373531927",NA,NA,"4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","0.012200000000000001","Literature ChIP-seq,0.0122"
"NR1H2","0.4084396800217975354","0.4084396800217975354","0.4084396800217975354","Activated","218","viper","218","0.4084396800217975354",NA,NA,"4","ReMap--ChIP-seq(rank=70); GTEx--Coexpression(rank=698); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1488)","787","0.235699999999999993","ReMap ChIP-seq,0.2357"
"KLF4","-0.3972469803802777255","-0.3972469803802777255","0.3972469803802777255","Repressed","219","viper","219","0.3972469803802777255",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=236); GTEx--Coexpression(rank=421); ARCHS4--Coexpression(rank=454)","553","0.152400000000000008","Literature ChIP-seq,0.1524"
"ZEB1","0.3681567637151484940","0.3681567637151484940","0.3681567637151484940","Activated","220","viper","220","0.3681567637151484940",NA,NA,"5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=845)","46","0.009972000000000000","Enrichr Queries,0.009972"
"SP3","0.3680226359982088358","0.3680226359982088358","0.3680226359982088358","Activated","221","viper","221","0.3680226359982088358",NA,NA,"3","Enrichr--Queries(rank=680); GTEx--Coexpression(rank=1472); ARCHS4--Coexpression(rank=1521)","1292","0.484300000000000008","Enrichr Queries,0.4843"
"TGIF2","-0.3533122876499686371","-0.3533122876499686371","0.3533122876499686371","Repressed","222","viper","222","0.3533122876499686371",NA,NA,"4","ARCHS4--Coexpression(rank=128); ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=802); GTEx--Coexpression(rank=825)","315","0.078619999999999995","ARCHS4 Coexpression,0.07862"
"PKNOX1","0.3523876623344503467","0.3523876623344503467","0.3523876623344503467","Activated","223","viper","223","0.3523876623344503467",NA,NA,"4","ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=706); ARCHS4--Coexpression(rank=904); GTEx--Coexpression(rank=1275)","1318","0.502800000000000025","Enrichr Queries,0.5028"
"RARA","-0.3419343200348421430","-0.3419343200348421430","0.3419343200348421430","Repressed","224","viper","224","0.3419343200348421430",NA,NA,"5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","0.018290000000000001","Literature ChIP-seq,0.01829"
"BACH2","0.3405728337735290934","0.3405728337735290934","0.3405728337735290934","Activated","225","viper","225","0.3405728337735290934",NA,NA,"4","Enrichr--Queries(rank=12); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=283); GTEx--Coexpression(rank=1183)","38","0.008547000000000001","Enrichr Queries,0.008547"
"PPARG","0.3403229817291988368","0.3403229817291988368","0.3403229817291988368","Activated","226","viper","226","0.3403229817291988368",NA,NA,"5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","0.006223000000000000","GTEx Coexpression,0.006223"
"E2F7","0.3395001218540814603","0.3395001218540814603","0.3395001218540814603","Activated","227","viper","227","0.3395001218540814603",NA,NA,"5","ReMap--ChIP-seq(rank=28); Literature--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=392); Enrichr--Queries(rank=1280); GTEx--Coexpression(rank=1314)","365","0.094280000000000003","ReMap ChIP-seq,0.09428"
"CREB1","0.3375388842125650046","0.3375388842125650046","0.3375388842125650046","Activated","228","viper","228","0.3375388842125650046",NA,NA,"6","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=888); ARCHS4--Coexpression(rank=1592)","1057","0.360399999999999998","Enrichr Queries,0.3604"
"HHEX","-0.3335755096796072516","-0.3335755096796072516","0.3335755096796072516","Repressed","229","viper","229","0.3335755096796072516",NA,NA,"4","ReMap--ChIP-seq(rank=23); GTEx--Coexpression(rank=221); Enrichr--Queries(rank=900); ARCHS4--Coexpression(rank=1069)","311","0.077439999999999995","ReMap ChIP-seq,0.07744"
"GLI2","0.2974255409667607708","0.2974255409667607708","0.2974255409667607708","Activated","230","viper","230","0.2974255409667607708",NA,NA,"3","ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=81); Enrichr--Queries(rank=167)","18","0.004300000000000000","ARCHS4 Coexpression,0.0043"
"STAT3","0.2968852638587996529","0.2968852638587996529","0.2968852638587996529","Activated","231","viper","231","0.2968852638587996529",NA,NA,"6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=190); Enrichr--Queries(rank=840); ARCHS4--Coexpression(rank=872); GTEx--Coexpression(rank=1231)","335","0.085370000000000001","Literature ChIP-seq,0.08537"
"SOX2","0.2956964696778641155","0.2956964696778641155","0.2956964696778641155","Activated","232","viper","232","0.2956964696778641155",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=136); Enrichr--Queries(rank=444); GTEx--Coexpression(rank=856)","177","0.042680000000000003","Literature ChIP-seq,0.04268"
