"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PITX1","499","499.000000000000000","1","0.5843396765223582978165950408","0.8431354050022002999398296","0.617369405395179704499","ChEA_2022(rank=499, adjP=0.843)","PITX1 30713093 ChIP-Seq Epithelial Human Tongue SCC","391","0.617369405395179704499","enrichr","391","0.617369405395179704499","0.5843396765223582978165950408","0.8431354050022002999398296","","3","GTEx--Coexpression(rank=248); ARCHS4--Coexpression(rank=799); Enrichr--Queries(rank=898)","557","0.15429999999999999","GTEx Coexpression,0.1543"
"RACK7","503","503.000000000000000","1","0.5907953899546118936569882862","0.8456713335334403724985464","0.507718484219284671433","ChEA_2022(rank=503, adjP=0.846)","RACK7 27058665 Chip-Seq MCF-7 Human","392","0.507718484219284671433","enrichr","392","0.507718484219284671433","0.5907953899546118936569882862","0.8456713335334403724985464","","0","",NA,NA,NA
"TBL1XR1","505","505.000000000000000","1","0.9959082300474098037312842280","0.9999961280798164153793550","0.002204397977262031582","ENCODE_TF_ChIP-seq_2015(rank=505, adjP=1)","TBL1XR1 K562 hg19","393","0.002204397977262031582","enrichr","393","0.002204397977262031582","0.9959082300474098037312842280","0.9999961280798164153793550","","0","",NA,NA,NA
"AF4","507","507.000000000000000","1","0.6007434653125858226019317954","0.8521100206258713782858649","0.487635673476437048190","ChEA_2022(rank=507, adjP=0.852)","AF4 28076791 ChIP-Seq SEM Human Blood Leukemia","394","0.487635673476437048190","enrichr","394","0.487635673476437048190","0.6007434653125858226019317954","0.8521100206258713782858649","","0","",NA,NA,NA
"ARID1A","514","514.000000000000000","1","0.6165970013672903426993343601","0.8614864412078059308086608","0.508281021110708497446","ChEA_2022(rank=514, adjP=0.861)","ARID1A 32646524 ChIP-Seq H9 Human BoneMarrow Lymphoma","395","0.508281021110708497446","enrichr","395","0.508281021110708497446","0.6165970013672903426993343601","0.8614864412078059308086608","","0","",NA,NA,NA
"ARID3A","516","516.000000000000000","1","0.9972660481075921179439092157","0.9999961280798164153793550","0.001121630343951945247","ENCODE_TF_ChIP-seq_2015(rank=516, adjP=1)","ARID3A HepG2 hg19","396","0.001121630343951945247","enrichr","396","0.001121630343951945247","0.9972660481075921179439092157","0.9999961280798164153793550","","5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=520); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1403)","1075","0.37040000000000001","Enrichr Queries,0.3704"
"FOXP1","518","518.000000000000000","1","0.6331745017419310173067970027","0.8795586311868561768534391","0.432328554858662728044","ChEA_2022(rank=518, adjP=0.88)","FOXP1 21924763 ChIP-Seq HESCs Human","397","0.432328554858662728044","enrichr","397","0.432328554858662728044","0.6331745017419310173067970027","0.8795586311868561768534391","","5","Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=139); GTEx--Coexpression(rank=441); ARCHS4--Coexpression(rank=651)","381","0.09900000000000000","Enrichr Queries,0.099"
"EGFP-JUNB","522","522.000000000000000","1","0.9972660481075921179439092157","0.9999961280798164153793550","0.001121630343951945247","ENCODE_TF_ChIP-seq_2015(rank=522, adjP=1)","eGFP-JUNB K562 hg19","398","0.001121630343951945247","enrichr","398","0.001121630343951945247","0.9972660481075921179439092157","0.9999961280798164153793550","","0","",NA,NA,NA
"NR4A2","523","523.000000000000000","1","0.6434950167541084731226419535","0.8842456732165514532439943","0.430361934983359784024","ChEA_2022(rank=523, adjP=0.884)","NR4A2 19515692 ChIP-ChIP MN9D Mouse","399","0.430361934983359784024","enrichr","399","0.430361934983359784024","0.6434950167541084731226419535","0.8842456732165514532439943","","4","Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=247); GTEx--Coexpression(rank=1016); ARCHS4--Coexpression(rank=1407)","623","0.17590000000000000","Enrichr Queries,0.1759"
"ER","528","528.000000000000000","1","0.6569395961625247304382924085","0.8949253281060800535584576","0.376162942909064434982","ChEA_2022(rank=528, adjP=0.895)","ER 23166858 ChIP-Seq MCF-7 Human","400","0.376162942909064434982","enrichr","400","0.376162942909064434982","0.6569395961625247304382924085","0.8949253281060800535584576","","0","",NA,NA,NA
"FUS","534","534.000000000000000","1","0.6688923972052127631116036355","0.9018773894901744858643156","0.351025591518950574876","ChEA_2022(rank=534, adjP=0.902)","FUS 26573619 Chip-Seq HEK293 Human","401","0.351025591518950574876","enrichr","401","0.351025591518950574876","0.6688923972052127631116036355","0.9018773894901744858643156","","0","",NA,NA,NA
"HOXD13","535","535.000000000000000","1","0.6711870774663938332693646771","0.9028086294645814025017216","0.360635883347936059273","ChEA_2022(rank=535, adjP=0.903)","HOXD13 18407260 ChIP-ChIP DEVELOPING-LIMBS Mouse","402","0.360635883347936059273","enrichr","402","0.360635883347936059273","0.6711870774663938332693646771","0.9028086294645814025017216","","4","GTEx--Coexpression(rank=57); Literature--ChIP-seq(rank=104); Enrichr--Queries(rank=786); ARCHS4--Coexpression(rank=1232)","150","0.03547000000000000","GTEx Coexpression,0.03547"
"RELB","537","537.000000000000000","1","0.6738358464460729724265775076","0.9028086294645814025017216","0.354467864953156130969","ChEA_2022(rank=537, adjP=0.903)","RELB 30642670 ChIP-Seq CTB1 Human Placenta Inflammation","403","0.354467864953156130969","enrichr","403","0.354467864953156130969","0.6738358464460729724265775076","0.9028086294645814025017216","","4","ReMap--ChIP-seq(rank=100); Enrichr--Queries(rank=691); ARCHS4--Coexpression(rank=801); GTEx--Coexpression(rank=1299)","1003","0.33670000000000000","ReMap ChIP-seq,0.3367"
"EBNA2","546","546.000000000000000","1","0.6952321522632594064106115184","0.9167896513361660781882279","0.317077313548259354103","ChEA_2022(rank=546, adjP=0.917)","EBNA2 21746931 ChIP-Seq IB4-LCL Human","404","0.317077313548259354103","enrichr","404","0.317077313548259354103","0.6952321522632594064106115184","0.9167896513361660781882279","","0","",NA,NA,NA
"P68","553","553.000000000000000","1","0.7241684249820250496298967846","0.9396546847436446636692153","0.278221395272274352184","ChEA_2022(rank=553, adjP=0.94)","P68 20966046 ChIP-Seq HELA Human","405","0.278221395272274352184","enrichr","405","0.278221395272274352184","0.7241684249820250496298967846","0.9396546847436446636692153","","0","",NA,NA,NA
"TCF12/HEB","561","561.000000000000000","1","0.7370663892348178203306474643","0.9396546847436446636692153","0.259933975689429719313","ChEA_2022(rank=561, adjP=0.94)","TCF12/HEB 22897851 ChIP-Seq JUKARTE6-1 Human","406","0.259933975689429719313","enrichr","406","0.259933975689429719313","0.7370663892348178203306474643","0.9396546847436446636692153","","0","",NA,NA,NA
"TAF2","564","564.000000000000000","1","0.7385578953451547024044998579","0.9396546847436446636692153","0.257857307826308335130","ChEA_2022(rank=564, adjP=0.94)","TAF2 19829295 ChIP-Seq ESCs Human","407","0.257857307826308335130","enrichr","407","0.257857307826308335130","0.7385578953451547024044998579","0.9396546847436446636692153","","0","",NA,NA,NA
"EGFP-GATA2","578","578.000000000000000","1","0.9991202926336522072148227380","0.9999961280798164153793550","0.000306884948780659396","ENCODE_TF_ChIP-seq_2015(rank=578, adjP=1)","eGFP-GATA2 K562 hg19","408","0.000306884948780659396","enrichr","408","0.000306884948780659396","0.9991202926336522072148227380","0.9999961280798164153793550","","0","",NA,NA,NA
